@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
2.263123,1.805890,0.000000,1.00
2.263123,1.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,1.805890,-0.669721,1.00
2.263123,1.805890,0.499279,1.00
1.263123,1.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,1.00
1.263123,1.805890,0.000000,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,1.805890,0.499279,1.00
2.263123,1.805890,0.499279,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.000000,-0.669721,1.00
2.263123,2.000000,-0.669721,1.00
2.263123,2.000000,-0.669721,1.00
2.263123,1.000000,-0.669721,1.00
2.263123,2.000000,-0.669721,1.00
2.263123,2.000000,-0.669721,1.00
2.263123,2.000000,-0.669721,1.00
2.263123,2.000000,-0.669721,1.00
1.000000,1.000000,0.499279,0.00
1.263123,1.000000,0.499279,0.00
1.000000,2.000000,0.000000,0.00
1.000000,2.000000,0.499279,1.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
0.000000,1.000000,0.499279,0.00
1.000000,2.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
2.263123,1.000000,-0.669721,0.00
1.263123,1.000000,0.499279,0.00
1.263123,2.000000,0.499279,1.00
1.000000,1.805890,0.000000,1.00
1.263123,1.805890,0.499279,0.00
1.000000,2.805890,0.000000,1.00
1.000000,2.805890,0.000000,1.00
0.000000,1.805890,0.000000,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,1.805890,0.499279,1.00
2.263123,1.805890,-0.669721,1.00
1.263123,1.805890,0.499279,1.00
2.263123,1.805890,-0.669721,1.00
1.263123,1.000000,-0.669721,0.00
2.263123,2.000000,-0.669721,1.00
2.263123,2.000000,-0.669721,1.00
2.263123,2.000000,-0.669721,1.00
2.263123,2.000000,-0.669721,1.00
2.263123,2.000000,-0.669721,1.00
2.263123,2.000000,0.499279,1.00
1.263123,2.000000,0.499279,0.00
1.000000,2.000000,0.499279,0.00
2.263123,2.000000,0.499279,1.00
0.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.000000,0.00
1.000000,2.000000,0.499279,1.00
1.000000,1.000000,0.499279,0.00
0.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,2.000000,0.000000,0.00
1.000000,1.000000,0.499279,0.00
0.000000,1.000000,0.499279,0.00
1.000000,2.000000,0.499279,1.00
1.000000,1.000000,0.499279,1.00
1.000000,1.000000,0.499279,0.00
0.000000,1.000000,-0.669721,0.00
0.000000,2.000000,0.499279,0.00
1.000000,1.000000,-0.669721,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
0.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
0.000000,1.000000,-0.669721,0.00
0.000000,1.000000,0.499279,0.00
1.263123,1.000000,-0.669721,0.00
1.263123,1.000000,-0.669721,0.00
0.000000,1.000000,0.499279,0.00
0.000000,1.000000,0.499279,0.00
0.000000,1.000000,0.499279,0.00
1.000000,2.805890,0.499279,1.00
1.000000,1.805890,0.499279,1.00
0.000000,1.805890,0.499279,1.00
2.263123,1.805890,0.000000,1.00
1.000000,1.805890,0.000000,1.00
1.000000,1.805890,0.000000,1.00
1.000000,1.805890,0.000000,1.00
2.263123,1.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,0.00
1.263123,1.805890,0.499279,1.00
1.263123,1.805890,0.499279,0.00
1.263123,1.805890,0.499279,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,0.00
1.263123,1.805890,-0.669721,1.00
2.263123,1.805890,-0.669721,1.00
2.263123,1.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.000000,-0.669721,1.00
2.263123,1.000000,-0.669721,1.00
2.263123,1.000000,0.499279,1.00
1.263123,1.000000,-0.669721,0.00
2.263123,2.000000,-0.669721,1.00
1.263123,1.000000,-0.669721,1.00
1.263123,1.000000,-0.669721,1.00
1.000000,2.000000,-0.669721,1.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
0.000000,2.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
0.000000,2.000000,0.000000,0.00
0.000000,1.000000,0.499279,0.00
0.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,2.000000,-0.669721,1.00
0.000000,1.000000,0.499279,0.00
1.000000,2.000000,0.000000,1.00
1.000000,1.000000,-0.669721,0.00
1.263123,1.000000,0.499279,0.00
1.263123,1.000000,0.499279,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
1.000000,1.805890,0.000000,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,1.805890,-0.669721,1.00
2.263123,1.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,1.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,1.805890,0.000000,1.00
2.263123,1.805890,0.000000,1.00
2.263123,2.805890,-0.669721,1.00
1.000000,1.805890,0.000000,1.00
2.263123,1.805890,0.499279,1.00
1.263123,1.000000,0.499279,1.00
1.263123,1.000000,0.499279,1.00
1.000000,1.000000,0.499279,1.00
1.000000,1.000000,0.499279,0.00
1.000000,2.000000,-0.669721,1.00
1.000000,1.000000,0.499279,1.00
1.000000,1.000000,0.499279,0.00
0.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,1.00
1.000000,2.000000,0.000000,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
0.000000,1.000000,0.499279,0.00
0.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.000000,1.00
1.000000,2.000000,0.499279,1.00
1.000000,2.805890,0.000000,1.00
1.263123,1.805890,0.499279,0.00
2.263123,1.805890,0.499279,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,1.805890,0.000000,1.00
2.263123,1.805890,0.499279,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,1.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,0.00
1.263123,1.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
1.263123,2.805890,0.499279,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,1.805890,-0.669721,1.00
2.263123,2.000000,-0.669721,1.00
2.263123,2.000000,-0.669721,1.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,2.000000,0.499279,0.00
1.000000,2.000000,-0.669721,1.00
1.000000,2.000000,0.000000,1.00
0.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,0.00
1.000000,1.000000,0.499279,1.00
1.000000,1.000000,0.499279,1.00
0.000000,1.000000,0.499279,0.00
2.263123,1.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,1.805890,0.499279,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,1.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,1.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
2.263123,2.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,1.00
2.263123,1.805890,-0.669721,1.00
2.263123,1.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,1.00
1.263123,1.805890,-0.669721,1.00
2.263123,1.805890,0.000000,1.00
2.263123,1.000000,0.499279,0.00
1.000000,2.000000,0.499279,0.00
1.000000,1.000000,-0.669721,1.00
