@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
7.122549,1.000000,1.00
8.122549,-2.572370,1.00
8.122549,-2.572370,1.00
1.000000,0.000000,0.00
7.122549,0.000000,1.00
2.620239,0.000000,0.00
1.000000,1.000000,0.00
7.122549,-0.248216,0.00
3.718282,-2.572370,0.00
7.122549,1.000000,1.00
8.122549,0.000000,1.00
3.718282,0.813189,1.00
1.000000,1.000000,0.00
2.620239,1.000000,0.00
8.122549,-0.041370,1.00
7.122549,1.000000,0.00
8.389056,-1.717811,1.00
7.389056,-0.248216,1.00
7.122549,-0.248216,0.00
8.389056,-0.041370,0.00
8.122549,-2.572370,1.00
8.122549,-1.810983,1.00
3.718282,0.720017,0.00
7.122549,-1.810983,1.00
3.718282,-1.717811,1.00
2.718282,0.000000,0.00
7.122549,1.000000,0.00
8.122549,-1.717811,1.00
3.718282,-1.717811,0.00
8.122549,1.000000,0.00
8.122549,-1.717811,1.00
8.122549,-1.717811,1.00
20.361096,0.813189,1.00
7.122549,1.000000,0.00
3.620239,0.000000,0.00
2.620239,1.000000,0.00
3.620239,0.000000,0.00
8.122549,1.000000,1.00
2.620239,0.000000,0.00
7.122549,1.000000,0.00
8.122549,1.000000,0.00
1.000000,1.000000,0.00
8.122549,-1.717811,1.00
1.000000,0.000000,0.00
2.620239,-1.000000,0.00
2.620239,1.000000,0.00
3.620239,1.000000,0.00
7.122549,-0.248216,0.00
7.389056,0.813189,1.00
2.718282,1.000000,0.00
2.620239,1.000000,0.00
3.620239,0.000000,0.00
8.122549,0.000000,1.00
8.389056,-0.041370,1.00
2.718282,0.720017,0.00
8.389056,-1.717811,1.00
7.122549,0.000000,0.00
8.122549,-2.572370,1.00
2.000000,1.000000,0.00
2.620239,0.000000,0.00
20.361096,-2.572370,1.00
8.122549,0.813189,1.00
19.361096,0.720017,1.00
3.718282,0.000000,0.00
3.718282,-2.572370,0.00
7.122549,-1.810983,1.00
8.122549,-2.572370,1.00
8.122549,0.000000,1.00
8.122549,-1.717811,1.00
8.122549,0.000000,1.00
20.361096,-2.779216,1.00
8.122549,-1.717811,1.00
7.122549,0.000000,0.00
8.122549,0.813189,0.00
3.620239,1.000000,0.00
2.718282,1.000000,0.00
8.389056,-0.041370,0.00
3.718282,-1.717811,1.00
8.122549,-2.779216,1.00
8.122549,-1.000000,1.00
8.389056,-2.779216,1.00
2.620239,1.000000,0.00
8.389056,-0.041370,1.00
7.122549,-0.248216,0.00
8.122549,-1.717811,1.00
3.718282,1.000000,0.00
8.122549,1.000000,1.00
2.620239,0.000000,0.00
2.620239,1.000000,0.00
7.122549,1.000000,0.00
3.718282,1.000000,0.00
7.389056,-0.680136,1.00
3.718282,-2.779216,0.00
19.361096,-2.779216,1.00
8.122549,-1.717811,1.00
20.361096,-2.779216,1.00
3.718282,-0.041370,0.00
8.389056,-2.572370,1.00
7.389056,0.813189,1.00
7.122549,1.000000,0.00
7.122549,1.000000,0.00
2.718282,0.000000,0.00
20.361096,-0.041370,1.00
2.620239,1.000000,0.00
7.122549,0.000000,0.00
2.718282,0.720017,0.00
3.620239,0.000000,0.00
20.361096,-0.041370,1.00
19.361096,0.813189,1.00
8.122549,0.000000,1.00
2.620239,1.000000,0.00
2.620239,1.000000,0.00
7.122549,0.000000,0.00
1.000000,1.000000,0.00
2.000000,0.000000,0.00
8.122549,1.000000,0.00
8.122549,0.813189,0.00
8.122549,-2.572370,1.00
7.122549,0.000000,0.00
8.122549,0.813189,1.00
8.122549,-0.041370,1.00
20.361096,-2.779216,1.00
20.361096,-2.572370,1.00
20.361096,-2.572370,1.00
8.389056,-2.572370,1.00
2.000000,1.000000,0.00
19.361096,1.068003,1.00
20.361096,0.813189,1.00
8.122549,-1.717811,1.00
7.122549,0.813189,0.00
2.718282,0.000000,0.00
2.620239,-1.000000,0.00
2.620239,1.000000,0.00
19.361096,0.813189,1.00
2.620239,1.000000,0.00
7.122549,1.000000,0.00
3.718282,-2.572370,0.00
2.718282,0.000000,0.00
8.389056,-2.779216,1.00
3.620239,1.000000,0.00
2.718282,0.813189,0.00
7.122549,0.000000,0.00
3.718282,1.000000,0.00
8.122549,-0.041370,1.00
8.122549,0.813189,0.00
20.361096,-0.041370,1.00
19.361096,1.068003,1.00
8.389056,-1.717811,1.00
8.122549,-2.572370,1.00
3.620239,1.000000,0.00
2.620239,1.000000,0.00
2.718282,0.000000,0.00
8.122549,1.000000,0.00
8.122549,-0.041370,0.00
7.122549,0.813189,0.00
20.361096,-2.572370,1.00
2.620239,1.000000,0.00
8.122549,0.720017,1.00
7.122549,0.000000,0.00
2.620239,1.000000,0.00
8.122549,-1.717811,1.00
8.122549,0.000000,1.00
3.620239,0.000000,0.00
19.361096,-0.248216,1.00
3.620239,1.000000,0.00
3.718282,-1.717811,1.00
8.122549,-1.717811,1.00
7.122549,0.813189,0.00
8.389056,0.720017,1.00
3.718282,0.000000,1.00
20.361096,-1.810983,1.00
3.620239,0.000000,1.00
3.718282,-0.248216,0.00
3.718282,-1.717811,1.00
2.620239,1.000000,0.00
2.620239,0.000000,0.00
3.620239,0.000000,1.00
8.122549,0.813189,0.00
3.718282,-1.810983,0.00
3.718282,-1.717811,0.00
2.718282,-0.248216,0.00
7.122549,-0.248216,0.00
2.718282,0.813189,0.00
3.718282,-1.717811,1.00
7.122549,0.000000,0.00
8.122549,0.000000,1.00
20.361096,-1.810983,1.00
8.389056,-0.248216,0.00
8.122549,-2.572370,1.00
2.718282,0.000000,0.00
3.718282,-1.717811,0.00
3.718282,-1.810983,0.00
8.122549,0.000000,1.00
7.122549,1.000000,0.00
3.718282,-0.248216,0.00
8.122549,-1.717811,1.00
8.122549,-0.248216,1.00
7.122549,0.813189,1.00
20.361096,0.813189,1.00
20.361096,-1.717811,1.00
8.122549,0.000000,1.00
1.000000,0.000000,0.00
3.718282,-2.572370,0.00
8.122549,-1.810983,1.00
7.122549,1.000000,0.00
8.122549,-1.810983,1.00
3.620239,0.000000,0.00
3.620239,1.000000,0.00
8.122549,1.000000,0.00
7.122549,0.720017,0.00
7.122549,0.720017,0.00
2.620239,1.000000,0.00
3.620239,1.000000,0.00
7.122549,-0.041370,0.00
7.122549,0.000000,1.00
20.361096,-1.717811,1.00
7.122549,1.000000,0.00
2.620239,1.000000,0.00
8.389056,-2.572370,1.00
1.000000,0.000000,0.00
3.620239,1.000000,0.00
7.122549,0.720017,0.00
8.122549,-1.717811,1.00
2.000000,0.000000,0.00
8.389056,-0.041370,0.00
8.122549,1.000000,0.00
7.122549,-0.041370,0.00
7.389056,0.813189,1.00
2.718282,0.720017,0.00
7.389056,0.813189,1.00
2.620239,1.000000,0.00
7.122549,-0.248216,0.00
20.361096,-1.717811,1.00
8.122549,-2.779216,1.00
7.122549,1.000000,1.00
8.122549,-1.717811,1.00
2.620239,0.000000,0.00
3.620239,0.000000,0.00
3.718282,-2.572370,0.00
8.122549,0.000000,1.00
3.718282,0.720017,0.00
8.389056,-2.572370,1.00
8.389056,0.720017,1.00
7.122549,0.813189,1.00
7.122549,-1.717811,1.00
20.361096,-2.779216,1.00
8.122549,-1.717811,1.00
8.122549,1.000000,1.00
8.122549,-2.572370,1.00
3.718282,-1.717811,0.00
20.361096,-2.572370,1.00
8.122549,-2.572370,1.00
8.122549,0.813189,0.00
20.361096,-2.572370,1.00
8.122549,0.813189,1.00
2.620239,1.000000,0.00
3.718282,-2.572370,1.00
2.620239,0.000000,0.00
2.000000,1.000000,0.00
2.620239,1.000000,0.00
7.122549,1.000000,0.00
3.620239,-1.000000,0.00
3.620239,-1.000000,0.00
20.361096,-1.717811,1.00
3.620239,0.000000,0.00
8.122549,-1.717811,1.00
8.122549,-2.572370,1.00
7.122549,0.000000,0.00
8.389056,-1.810983,1.00
3.718282,-1.717811,0.00
2.620239,1.000000,0.00
8.122549,-1.717811,1.00
8.122549,-0.041370,1.00
20.361096,-2.572370,1.00
3.620239,1.000000,0.00
2.620239,0.000000,0.00
3.718282,1.000000,0.00
7.122549,1.000000,0.00
8.122549,-0.248216,1.00
3.620239,0.000000,1.00
8.122549,-2.572370,1.00
8.122549,-0.041370,1.00
2.620239,0.000000,0.00
2.620239,0.000000,0.00
20.361096,-1.717811,1.00
20.361096,-1.717811,1.00
3.718282,-2.779216,0.00
8.122549,1.000000,0.00
2.000000,1.000000,0.00
3.718282,0.813189,1.00
7.122549,-0.041370,0.00
3.718282,0.000000,1.00
7.122549,0.813189,0.00
2.620239,1.000000,0.00
1.000000,0.000000,0.00
8.122549,-2.572370,1.00
7.122549,1.000000,0.00
7.122549,0.813189,1.00
8.122549,1.000000,0.00
20.361096,-0.041370,1.00
3.620239,0.000000,0.00
19.361096,-0.248216,0.00
8.122549,1.000000,0.00
8.122549,-0.248216,0.00
8.122549,-2.572370,1.00
7.389056,0.720017,1.00
20.361096,-2.572370,1.00
8.122549,-0.248216,1.00
7.389056,0.813189,0.00
1.000000,0.000000,0.00
1.000000,0.000000,0.00
19.361096,0.720017,1.00
8.122549,0.000000,1.00
2.620239,1.000000,0.00
8.122549,-2.779216,1.00
8.122549,-1.717811,1.00
7.122549,1.000000,1.00
2.620239,0.000000,0.00
3.620239,1.000000,0.00
2.718282,1.000000,0.00
8.122549,-1.000000,1.00
8.389056,-0.041370,1.00
3.718282,-2.572370,1.00
7.122549,0.813189,0.00
7.122549,1.000000,1.00
3.718282,0.720017,0.00
3.620239,1.000000,0.00
19.361096,0.720017,1.00
3.718282,0.000000,0.00
3.718282,0.720017,0.00
20.361096,1.000000,1.00
20.361096,0.813189,1.00
19.361096,-0.248216,1.00
3.718282,-1.810983,0.00
8.122549,0.000000,1.00
19.361096,-1.810983,1.00
3.620239,1.000000,0.00
20.361096,-1.717811,1.00
8.122549,0.813189,1.00
7.389056,-2.779216,0.00
3.620239,-1.000000,0.00
20.361096,-1.717811,1.00
7.122549,0.000000,1.00
8.122549,-2.572370,1.00
3.620239,0.000000,0.00
8.389056,-2.572370,1.00
7.122549,0.000000,0.00
7.122549,0.813189,1.00
19.361096,0.813189,1.00
7.122549,-1.000000,1.00
8.122549,-0.041370,0.00
20.361096,1.000000,1.00
7.122549,0.000000,1.00
20.361096,-2.572370,1.00
8.122549,-2.572370,1.00
8.122549,-1.717811,1.00
8.389056,0.813189,1.00
3.620239,0.000000,0.00
3.620239,0.000000,0.00
3.620239,1.000000,0.00
8.122549,-2.572370,1.00
3.718282,-0.041370,0.00
3.718282,0.813189,1.00
20.361096,-1.717811,1.00
20.361096,-1.717811,1.00
7.122549,0.000000,0.00
7.122549,1.000000,0.00
8.122549,0.000000,1.00
8.122549,-2.572370,1.00
2.000000,0.000000,0.00
8.389056,-2.779216,1.00
3.620239,0.000000,0.00
8.122549,1.000000,0.00
19.361096,-1.717811,1.00
2.620239,0.000000,0.00
19.361096,1.068003,1.00
8.122549,-1.717811,1.00
8.122549,0.000000,1.00
8.122549,0.000000,1.00
8.389056,-1.810983,1.00
8.122549,-2.572370,1.00
7.122549,-0.248216,0.00
3.718282,-2.572370,1.00
7.122549,-1.810983,0.00
3.718282,0.720017,1.00
8.122549,-0.041370,1.00
7.122549,0.000000,0.00
8.122549,1.000000,0.00
2.620239,1.000000,0.00
7.389056,0.813189,1.00
3.718282,-2.572370,1.00
19.361096,0.813189,1.00
2.718282,1.000000,0.00
7.122549,0.813189,0.00
3.718282,-2.779216,1.00
8.122549,-0.248216,0.00
2.620239,1.000000,0.00
2.620239,0.000000,0.00
2.620239,-1.000000,0.00
20.361096,-2.572370,1.00
3.620239,0.000000,0.00
7.122549,1.000000,1.00
8.122549,0.813189,1.00
3.718282,1.000000,1.00
2.718282,0.000000,0.00
7.389056,-1.717811,1.00
20.361096,-2.572370,1.00
3.620239,0.000000,0.00
20.361096,-2.779216,1.00
7.122549,-0.041370,0.00
8.122549,-2.572370,1.00
7.389056,0.813189,1.00
7.122549,1.000000,0.00
7.122549,1.000000,0.00
2.620239,0.000000,0.00
8.122549,1.000000,0.00
7.122549,0.813189,1.00
2.620239,1.000000,0.00
7.122549,1.000000,1.00
8.122549,-1.717811,1.00
7.122549,0.000000,0.00
8.122549,-2.572370,1.00
2.000000,0.000000,0.00
2.620239,1.000000,0.00
8.122549,-0.041370,0.00
2.718282,0.000000,0.00
7.389056,0.813189,1.00
8.122549,1.000000,0.00
2.718282,0.000000,0.00
1.000000,0.000000,0.00
2.620239,0.000000,0.00
19.361096,-1.717811,1.00
3.620239,1.000000,0.00
1.000000,1.000000,0.00
8.389056,-2.572370,1.00
8.122549,-2.572370,1.00
3.620239,1.000000,0.00
1.000000,1.000000,0.00
7.122549,0.000000,0.00
8.122549,-1.717811,1.00
3.718282,-2.779216,1.00
7.122549,-3.211136,1.00
2.718282,1.000000,0.00
20.361096,-1.717811,1.00
8.122549,0.000000,1.00
2.620239,0.000000,0.00
2.000000,1.000000,0.00
3.718282,-1.717811,1.00
3.718282,-2.572370,1.00
19.361096,-0.041370,1.00
20.361096,-1.717811,1.00
7.122549,0.000000,1.00
3.718282,-1.717811,0.00
8.122549,-2.572370,1.00
8.389056,-2.572370,1.00
2.718282,1.000000,0.00
20.361096,-0.248216,1.00
20.361096,-0.041370,1.00
3.718282,-2.572370,1.00
2.620239,0.000000,0.00
8.122549,-1.717811,1.00
8.122549,-2.572370,1.00
2.620239,1.000000,0.00
8.122549,0.000000,1.00
8.122549,-1.810983,1.00
3.620239,0.000000,0.00
3.718282,0.720017,0.00
1.000000,1.000000,0.00
3.718282,-2.572370,0.00
7.122549,0.813189,0.00
19.361096,-2.779216,1.00
7.389056,0.813189,0.00
3.718282,-2.572370,1.00
8.122549,1.000000,0.00
3.620239,0.000000,0.00
7.122549,1.000000,0.00
7.122549,1.000000,1.00
8.122549,-1.717811,1.00
3.620239,1.000000,0.00
20.361096,-0.248216,1.00
7.122549,-0.041370,0.00
7.122549,1.000000,0.00
8.122549,-2.572370,1.00
3.718282,-1.717811,1.00
8.122549,-0.041370,1.00
2.620239,1.000000,0.00
8.122549,0.000000,1.00
3.718282,0.000000,0.00
7.122549,0.000000,0.00
3.620239,0.000000,0.00
7.122549,0.000000,0.00
8.389056,-2.572370,1.00
7.122549,1.000000,0.00
2.000000,0.000000,0.00
8.122549,1.000000,0.00
7.122549,-0.248216,0.00
7.122549,1.000000,0.00
7.122549,0.813189,0.00
7.122549,0.000000,1.00
8.122549,-0.248216,1.00
7.389056,-0.041370,0.00
20.361096,-1.717811,1.00
3.718282,-1.717811,0.00
20.361096,-2.572370,1.00
20.361096,-2.572370,1.00
20.361096,-1.717811,1.00
3.620239,1.000000,0.00
3.718282,1.000000,1.00
2.718282,-0.041370,0.00
8.122549,-2.572370,1.00
8.122549,1.000000,0.00
8.122549,0.000000,1.00
8.122549,0.000000,1.00
1.000000,1.000000,0.00
7.122549,0.813189,1.00
20.361096,-0.248216,1.00
2.620239,0.000000,0.00
8.122549,-2.572370,1.00
3.620239,0.000000,1.00
7.122549,1.000000,0.00
8.389056,-2.572370,1.00
2.718282,1.000000,0.00
8.389056,-2.572370,1.00
19.361096,0.813189,1.00
2.620239,1.000000,0.00
8.122549,0.000000,1.00
8.122549,0.000000,1.00
3.718282,-0.248216,0.00
2.620239,1.000000,0.00
2.718282,0.813189,0.00
8.389056,-2.572370,1.00
20.361096,-0.041370,1.00
2.620239,1.000000,0.00
3.718282,-1.717811,1.00
3.718282,-2.572370,0.00
8.122549,0.000000,1.00
19.361096,0.720017,1.00
7.122549,0.000000,0.00
19.361096,0.813189,1.00
7.122549,1.000000,1.00
8.122549,-1.717811,1.00
8.389056,0.720017,1.00
2.620239,1.000000,0.00
3.620239,0.000000,0.00
8.389056,-0.248216,0.00
8.389056,-2.572370,1.00
8.122549,1.000000,0.00
7.122549,0.000000,1.00
7.122549,0.000000,1.00
3.718282,1.000000,0.00
8.122549,-0.248216,1.00
8.122549,-1.717811,1.00
2.620239,-1.531000,0.00
2.000000,0.000000,0.00
8.389056,-2.779216,1.00
3.620239,0.000000,0.00
8.122549,-0.248216,1.00
8.389056,-1.717811,1.00
19.361096,-0.248216,0.00
3.718282,-2.572370,0.00
8.122549,-1.717811,1.00
3.620239,1.000000,0.00
3.718282,1.000000,1.00
20.361096,-1.810983,1.00
2.620239,1.000000,0.00
8.389056,-0.248216,0.00
3.718282,0.813189,0.00
3.620239,1.000000,0.00
20.361096,-1.717811,1.00
8.122549,-1.717811,1.00
7.122549,0.000000,0.00
8.122549,0.813189,0.00
7.122549,0.000000,0.00
2.620239,1.000000,0.00
20.361096,-1.717811,1.00
2.718282,0.000000,0.00
3.620239,1.000000,0.00
8.122549,-0.041370,0.00
8.122549,1.000000,0.00
20.361096,-0.041370,1.00
8.122549,-2.779216,1.00
8.122549,1.000000,0.00
19.361096,-1.810983,1.00
8.122549,-2.779216,1.00
7.389056,0.813189,1.00
8.122549,-1.717811,1.00
8.122549,-1.717811,1.00
1.000000,0.000000,0.00
